,l1_title,l1_url,l1_pageid,l2_url,l2_id,l2_title,l2_pageid,l3_url,l3_id,l3_title,l3_pageid,l4_url,l4_id,l4_title,l4_pageid,l5_url,l5_id,l5_title,l5_pageid
112,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/139,3.5,执行整合,139,/chapter/142,3.5.3,背景层面的整合,142,,,,
113,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/139,3.5,执行整合,139,/chapter/143,3.5.4,整合与复杂性,143,,,,
114,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/146,4.1.1,制定项目章程：输入,146,/chapter/155,4.1.1.1,商业文件,155
115,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/146,4.1.1,制定项目章程：输入,146,/chapter/156,4.1.1.2,协议,156
116,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/146,4.1.1,制定项目章程：输入,146,/chapter/157,4.1.1.3,事业环境因素,157
117,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/146,4.1.1,制定项目章程：输入,146,/chapter/158,4.1.1.4,组织过程资产,158
118,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/147,4.1.2,制定项目章程：工具与技术,147,/chapter/149,4.1.2.1,专家判断,149
119,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/147,4.1.2,制定项目章程：工具与技术,147,/chapter/150,4.1.2.2,数据收集,150
120,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/147,4.1.2,制定项目章程：工具与技术,147,/chapter/151,4.1.2.3,人际关系与团队技能,151
121,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/147,4.1.2,制定项目章程：工具与技术,147,/chapter/152,4.1.2.4,会议,152
